@[\u_and_G0_18_d1/N3(6)] ==> [\share1_in[18](6), \share1_in[50](6), \share1_in[18](5), \share1_in[50](5)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(7)] ==> [\share1_in[18](7), \share1_in[50](7), \share1_in[18](6), \share1_in[50](6)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(8)] ==> [\share1_in[18](8), \share1_in[50](8), \share1_in[18](7), \share1_in[50](7)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(9)] ==> [\share1_in[18](9), \share1_in[50](9), \share1_in[18](8), \share1_in[50](8)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(10)] ==> [\share1_in[18](10), \share1_in[50](10), \share1_in[18](9), \share1_in[50](9)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(11)] ==> [\share1_in[18](11), \share1_in[50](11), \share1_in[18](10), \share1_in[50](10)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(12)] ==> [\share1_in[18](12), \share1_in[50](12), \share1_in[18](11), \share1_in[50](11)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(13)] ==> [\share1_in[18](13), \share1_in[50](13), \share1_in[18](12), \share1_in[50](12)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(14)] ==> [\share1_in[18](14), \share1_in[50](14), \share1_in[18](13), \share1_in[50](13)] -log10(p) = 2.20388 --> OKAY
@[\o_share1[20](7)] ==> [\u_and_t67_d6/t2(7), \u_and_t67_d6/t3(7), d6_P0_20_s1(7), d6_G2_19_s1(7), \u_and_t67_d6/t2(6), \u_and_t67_d6/t3(6), d6_P0_20_s1(6), d6_G2_19_s1(6)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](8)] ==> [\u_and_t67_d6/t2(8), \u_and_t67_d6/t3(8), d6_P0_20_s1(8), d6_G2_19_s1(8), \u_and_t67_d6/t2(7), \u_and_t67_d6/t3(7), d6_P0_20_s1(7), d6_G2_19_s1(7)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](9)] ==> [\u_and_t67_d6/t2(9), \u_and_t67_d6/t3(9), d6_P0_20_s1(9), d6_G2_19_s1(9), \u_and_t67_d6/t2(8), \u_and_t67_d6/t3(8), d6_P0_20_s1(8), d6_G2_19_s1(8)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](10)] ==> [\u_and_t67_d6/t2(10), \u_and_t67_d6/t3(10), d6_P0_20_s1(10), d6_G2_19_s1(10), \u_and_t67_d6/t2(9), \u_and_t67_d6/t3(9), d6_P0_20_s1(9), d6_G2_19_s1(9)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](11)] ==> [\u_and_t67_d6/t2(11), \u_and_t67_d6/t3(11), d6_P0_20_s1(11), d6_G2_19_s1(11), \u_and_t67_d6/t2(10), \u_and_t67_d6/t3(10), d6_P0_20_s1(10), d6_G2_19_s1(10)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](12)] ==> [\u_and_t67_d6/t2(12), \u_and_t67_d6/t3(12), d6_P0_20_s1(12), d6_G2_19_s1(12), \u_and_t67_d6/t2(11), \u_and_t67_d6/t3(11), d6_P0_20_s1(11), d6_G2_19_s1(11)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](13)] ==> [\u_and_t67_d6/t2(13), \u_and_t67_d6/t3(13), d6_P0_20_s1(13), d6_G2_19_s1(13), \u_and_t67_d6/t2(12), \u_and_t67_d6/t3(12), d6_P0_20_s1(12), d6_G2_19_s1(12)] -log10(p) = 2.1139 --> OKAY
@[\o_share1[20](14)] ==> [\u_and_t67_d6/t2(14), \u_and_t67_d6/t3(14), d6_P0_20_s1(14), d6_G2_19_s1(14), \u_and_t67_d6/t2(13), \u_and_t67_d6/t3(13), d6_P0_20_s1(13), d6_G2_19_s1(13)] -log10(p) = 2.1139 --> OKAY
@[\o_share0[22](7)] ==> [\u_and_t69_d6/t0(7), \u_and_t69_d6/t1(7), d6_P0_22_s0(7), d6_G3_21_s0(7), \u_and_t69_d6/t0(6), \u_and_t69_d6/t1(6), d6_P0_22_s0(6), d6_G3_21_s0(6)] -log10(p) = 2.09826 --> OKAY
@[\o_share0[22](8)] ==> [\u_and_t69_d6/t0(8), \u_and_t69_d6/t1(8), d6_P0_22_s0(8), d6_G3_21_s0(8), \u_and_t69_d6/t0(7), \u_and_t69_d6/t1(7), d6_P0_22_s0(7), d6_G3_21_s0(7)] -log10(p) = 2.09826 --> OKAY
@[\o_share0[22](9)] ==> [\u_and_t69_d6/t0(9), \u_and_t69_d6/t1(9), d6_P0_22_s0(9), d6_G3_21_s0(9), \u_and_t69_d6/t0(8), \u_and_t69_d6/t1(8), d6_P0_22_s0(8), d6_G3_21_s0(8)] -log10(p) = 2.09826 --> OKAY
@[\o_share0[22](10)] ==> [\u_and_t69_d6/t0(10), \u_and_t69_d6/t1(10), d6_P0_22_s0(10), d6_G3_21_s0(10), \u_and_t69_d6/t0(9), \u_and_t69_d6/t1(9), d6_P0_22_s0(9), d6_G3_21_s0(9)] -log10(p) = 2.09826 --> OKAY
@[\o_share0[22](11)] ==> [\u_and_t69_d6/t0(11), \u_and_t69_d6/t1(11), d6_P0_22_s0(11), d6_G3_21_s0(11), \u_and_t69_d6/t0(10), \u_and_t69_d6/t1(10), d6_P0_22_s0(10), d6_G3_21_s0(10)] -log10(p) = 2.09826 --> OKAY
